match_id,date,home_team,away_team,home_score,away_score,actual_result,pred_result,p_home_win,p_draw,p_away_win,p_actual,log_loss,brier,correct,bookmaker,real_odds,edge,kelly_stake,bet_return,bankroll
14,2026-06-15,Spain,Cape Verde,0,0,draw,home_win,0.8426466778356865,0.11649451084718666,0.04085881131712694,0.11649451084718666,2.1499111242779625,1.4923048154929197,FALSE,Pinnacle,1.09,-0.07478451482486392,0,0,983.0825470819569
15,2026-06-15,Belgium,Egypt,1,1,draw,home_win,0.6518770823305805,0.2349733071819609,0.11314961048745863,0.2349733071819609,1.4482833577491494,1.0230124055454006,FALSE,Pinnacle,1.62,0.03459313171329659,22.21484053980794,-22.21484053980794,960.867706542149
16,2026-06-15,Saudi Arabia,Uruguay,1,1,draw,away_win,0.12957291389412615,0.27749326391096335,0.5929338221949105,0.27749326391096335,1.2819586202849975,0.8903756412117133,FALSE,Pinnacle,1.46,-0.0919976846544045,0,0,960.867706542149
17,2026-06-16,France,Senegal,3,1,home_win,home_win,0.6967423649059978,0.19613059093652382,0.10712704415747833,0.6967423649059978,0.36133957083441137,0.1419086055338353,TRUE,Pinnacle,1.48,0.021066689230322178,0,0,960.867706542149
18,2026-06-16,Iraq,Norway,1,4,away_win,away_win,0.08595934539026807,0.18921106019248748,0.7248295944172445,0.7248295944172445,0.3218186939373163,0.1189085864676667,TRUE,Pinnacle,1.19,-0.11550654003653704,0,0,960.867706542149
19,2026-06-16,Argentina,Algeria,3,0,home_win,home_win,0.6784727977339753,0.2108574019913416,0.11066980027468303,0.6784727977339753,0.3879108922810272,0.16008839046439363,TRUE,Pinnacle,1.4,-0.035812916551739016,0,0,960.867706542149
20,2026-06-16,Austria,Jordan,3,1,home_win,home_win,0.772402709190221,0.1632513395998294,0.0643459512099496,0.772402709190221,0.2582492209375268,0.08259192810220313,TRUE,Pinnacle,1.34,0.026134052473803182,0,0,960.867706542149
21,2026-06-17,Portugal,DR Congo,1,1,draw,home_win,0.793334448472766,0.148786526566631,0.05787902496060302,0.148786526566631,1.9052427079500616,1.3572939060184785,FALSE,Pinnacle,1.29,0.01814065002315368,0,0,960.867706542149
22,2026-06-17,England,Croatia,4,2,home_win,home_win,0.6244814040563658,0.2398717023845721,0.13564689355906207,0.6244814040563658,0.4708337271915384,0.2169527292365747,TRUE,Pinnacle,1.73,0.04644672197544086,26.44124607268185,19.30210963305775,980.1698161752067
23,2026-06-17,Uzbekistan,Colombia,1,3,away_win,away_win,0.12155299709544796,0.2359090593911902,0.6425379435133618,0.6425379435133618,0.4423294079045772,0.1982073372333786,TRUE,Pinnacle,1.39,-0.07688651691829296,0,0,980.1698161752067
24,2026-06-17,Ghana,Panama,1,0,home_win,away_win,0.3150925744350342,0.3259237556885296,0.3589836698764361,0.3150925744350342,1.1548887962375107,0.7041937513540997,FALSE,Pinnacle,3.43,0.06743848037206296,23.32582189087565,-23.32582189087565,956.8439942843311
25,2026-06-18,Mexico,South Korea,1,0,home_win,home_win,0.6172763431329062,0.25716457945105775,0.12555907741603606,0.6172763431329062,0.48243847344492724,0.22837610037152647,TRUE,Pinnacle,1.98,0.11222583808240116,54.23918009231867,53.154396490472294,1009.9983907748034
26,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,home_win,home_win,0.6701776171167305,0.23252758312417432,0.09729479975909522,0.6701776171167305,0.40021250155574284,0.17231815922453025,TRUE,Pinnacle,1.6,0.04517761711673052,30.419547057958667,18.251728234775204,1028.2501190095786
27,2026-06-18,Canada,Qatar,6,0,home_win,home_win,0.8001907338397587,0.14624444361461258,0.05356482254562864,0.8001907338397587,0.22290516243139916,0.06418037034598643,TRUE,Pinnacle,1.28,0.018940733839758694,0,0,1028.2501190095786
28,2026-06-18,Czech Republic,South Africa,1,1,draw,home_win,0.571260989756561,0.2717822913376275,0.15695671890581137,0.2717822913376275,1.3027539326708564,0.8812755612367995,FALSE,Pinnacle,1.79,0.012601771879466095,0,0,1028.2501190095786
29,2026-06-19,Brazil,Haiti,3,0,home_win,home_win,0.8184425296060108,0.13447860819921406,0.047078862194774966,0.8184425296060108,0.20035209892318326,0.053264030384616586,TRUE,Pinnacle,1.1,-0.09064837948489823,0,0,1028.2501190095786
